error	steps
41663797419.0	290.0
41636047142.0	291.0
41600603969.0	292.0
41575144675.0	293.0
41536990248.0	294.0
41513885145.0	295.0
41468649075.0	296.0
41457722708.0	297.0
41427098287.0	298.0
41394078725.0	299.0
41382216542.0	300.0
41339861928.0	301.0
41313269629.0	302.0
41298873818.0	303.0
41280026579.0	304.0
41263473319.0	305.0
41245305708.0	306.0
41228232406.0	307.0
41215868949.0	308.0
41198788055.0	309.0
41177076514.0	310.0
41150529140.0	311.0
41101316122.0	312.0
41069761009.0	313.0
41028629245.0	314.0
40998750267.0	315.0
40969205761.0	316.0
40947062601.0	317.0
40913127994.0	318.0
40868520005.0	319.0
40859520848.0	320.0
40849748807.0	321.0
40817284045.0	322.0
40796924854.0	323.0
40783840873.0	324.0
40751063049.0	325.0
40731033285.0	326.0
40708602884.0	327.0
40694176819.0	328.0
40667954937.0	329.0
40640804695.0	330.0
40614255344.0	331.0
40573906314.0	332.0
40528745195.0	333.0
40514985274.0	334.0
40476987162.0	335.0
40442835008.0	336.0
40420217517.0	337.0
40411598674.0	338.0
40385653532.0	339.0
40377574026.0	340.0
40366800733.0	341.0
40323208302.0	342.0
40268513609.0	343.0
40256737763.0	344.0
40241645665.0	345.0
40214323497.0	346.0
40183337247.0	347.0
40151768096.0	348.0
40136359766.0	349.0
40102349524.0	350.0
40080289001.0	351.0
40065785520.0	352.0
40054456231.0	353.0
40044426023.0	354.0
39986307992.0	355.0
39961250199.0	356.0
39948462930.0	357.0
39920712903.0	358.0
39886159330.0	359.0
39870737203.0	360.0
39858177360.0	361.0
39831843825.0	362.0
39809021876.0	363.0
39782818746.0	364.0
39759955281.0	365.0
39733510094.0	366.0
39700074972.0	367.0
39677292130.0	368.0
39630515457.0	369.0
39614687535.0	370.0
39604059769.0	371.0
39582145143.0	372.0
39549289558.0	373.0
39533428026.0	374.0
39510629046.0	375.0
39492089991.0	376.0
39484739680.0	377.0
39450036813.0	378.0
39427875430.0	379.0
39420378274.0	380.0
39386859947.0	381.0
39368251669.0	382.0
39357990558.0	383.0
39345449302.0	384.0
39332238301.0	385.0
39310829365.0	386.0
39295202792.0	387.0
39264302488.0	388.0
39237789053.0	389.0
39206689571.0	390.0
39182101132.0	391.0
39146384866.0	392.0
39121908346.0	393.0
39099803557.0	394.0
39085562883.0	395.0
39071331049.0	396.0
39044891322.0	397.0
39007082782.0	398.0
38988179976.0	399.0
38960064378.0	400.0
38926594796.0	401.0
38917658795.0	402.0
38898327227.0	403.0
38862551417.0	404.0
38849277476.0	405.0
38835355921.0	406.0
38828592831.0	407.0
38804017459.0	408.0
38783927605.0	409.0
38769660325.0	410.0
38740620861.0	411.0
38730313465.0	412.0
38706769674.0	413.0
38689120818.0	414.0
38666655100.0	415.0
38641895822.0	416.0
38630533293.0	417.0
38616190911.0	418.0
38590432520.0	419.0
38567767993.0	420.0
38557967447.0	421.0
38540598954.0	422.0
38520334592.0	423.0
38508591053.0	424.0
38497667385.0	425.0
38491747194.0	426.0
38477526855.0	427.0
38471526002.0	428.0
38451655692.0	429.0
38410444466.0	430.0
38407454270.0	431.0
38380990102.0	432.0
38370622746.0	433.0
38349748906.0	434.0
38342183109.0	435.0
38332887775.0	436.0
38328218481.0	437.0
38300540536.0	438.0
38284217978.0	439.0
