error	run_time
54491250086.0	0.0
54357657839.0	0.09790277481079102
54282131195.0	0.1868910789489746
54218134206.0	0.27710580825805664
54098311343.0	0.36249780654907227
54031447999.0	0.44140076637268066
53994896221.0	0.5263528823852539
53961103569.0	0.6132948398590088
53862595554.0	0.7067699432373047
53750172800.0	0.7847597599029541
53670291070.0	0.8792629241943359
53540777934.0	0.9711208343505859
53446277663.0	1.0613467693328857
53382246490.0	1.1731908321380615
53222575965.0	1.2848379611968994
53122520139.0	1.3661110401153564
53075868699.0	1.4585647583007812
53010025146.0	1.557694911956787
52945334515.0	1.653437852859497
52875748684.0	1.7507400512695312
52817149334.0	1.8513009548187256
52784912262.0	1.9400708675384521
52743173280.0	2.023772954940796
52681585708.0	2.119227886199951
52622031647.0	2.2016026973724365
52600223454.0	2.292625904083252
52553940582.0	2.376512050628662
52478963296.0	2.4741950035095215
52450581478.0	2.562804937362671
52390560141.0	2.6578707695007324
52295986722.0	2.7471978664398193
52232379201.0	2.837890863418579
52193996639.0	2.9266607761383057
52135292188.0	3.026348829269409
52125992845.0	3.117370843887329
52044816248.0	3.208784818649292
51926866202.0	3.2866289615631104
51888656907.0	3.366168737411499
51826399634.0	3.460643768310547
51776955894.0	3.5422558784484863
51765147301.0	3.6320977210998535
51727404362.0	3.7023370265960693
51672119815.0	3.7951619625091553
51574454634.0	3.8952887058258057
51530513870.0	3.9944748878479004
51469457932.0	4.097107887268066
51386595852.0	4.200301885604858
51294463507.0	4.282399892807007
51275505675.0	4.375184774398804
51228806498.0	4.473237991333008
51216805813.0	4.579111814498901
51182174252.0	4.674739837646484
51147364646.0	4.771781921386719
51102851092.0	4.869272708892822
51087233290.0	4.96034574508667
51071211477.0	5.050837993621826
51058972394.0	5.133403778076172
50996309905.0	5.243425130844116
50941537374.0	5.3290698528289795
50902305329.0	5.423407793045044
50862355292.0	5.509229898452759
50806747739.0	5.599203824996948
50765605548.0	5.692978858947754
50704437056.0	5.776611804962158
50577861966.0	5.884603977203369
50457259595.0	5.985415935516357
50405839328.0	6.07591986656189
50383524039.0	6.180258750915527
50321219830.0	6.295568943023682
50269479300.0	6.417325735092163
50225299840.0	6.50212287902832
50154988857.0	6.600423812866211
50099728814.0	6.746833801269531
50053535811.0	6.866333961486816
50048349368.0	6.98407506942749
49960673461.0	7.086303949356079
49879918658.0	7.177509784698486
49852091754.0	7.268561840057373
49732941689.0	7.37428879737854
49670368745.0	7.477060794830322
49584634743.0	7.609410762786865
49527148062.0	7.691950798034668
49518557494.0	7.7850189208984375
49491389299.0	7.886468887329102
49415560646.0	7.972960948944092
49364944774.0	8.072910785675049
49325878799.0	8.15707278251648
49296376020.0	8.254379987716675
49253348198.0	8.341216087341309
49245896210.0	8.42192006111145
49224006057.0	8.503444910049438
49184199640.0	8.595585823059082
49162556493.0	8.673738956451416
49086391676.0	8.769827842712402
49059623900.0	8.854741096496582
48986478325.0	8.94423770904541
48955717920.0	9.040211915969849
48918152322.0	9.126861810684204
48844332230.0	9.22219705581665
48828984608.0	9.321147918701172
48735996571.0	9.41028094291687
48717330084.0	9.498074769973755
48688121055.0	9.60526704788208
48586391253.0	9.69707179069519
48537077758.0	9.782665967941284
48513073108.0	9.874450922012329
48488072841.0	9.966443061828613
48388727840.0	10.05241870880127
48307484987.0	10.150327682495117
48275171682.0	10.25653886795044
48230177794.0	10.355480909347534
48202283896.0	10.466366052627563
48122975228.0	10.572319030761719
48089283317.0	10.65968108177185
48062517024.0	10.859616041183472
48003240308.0	11.010228872299194
47978184039.0	11.111329078674316
47908148636.0	11.198821783065796
47877454578.0	11.290942907333374
47784970983.0	11.392746925354004
47746603108.0	11.496063947677612
47689714644.0	11.582751989364624
47670855901.0	11.671575784683228
47603012291.0	11.771251916885376
47577548278.0	11.857548713684082
47561631398.0	11.943701028823853
47538930615.0	12.02444076538086
47500897767.0	12.126360893249512
47462682796.0	12.222403764724731
47424375592.0	12.315725803375244
47390770953.0	12.393821001052856
47345531928.0	12.505294799804688
47285024903.0	12.604172706604004
47262315888.0	12.701643943786621
47216660602.0	12.799314022064209
47149871446.0	12.886640787124634
47063041948.0	12.965626955032349
47011176418.0	13.072730779647827
